'Crate name', 'Successful filtering', 'Duration (s)', 'Exit status', 'Start', 'End'
'000_libc', true, 2, 0, '2018-11-14 15:22:56', '2018-11-14 15:22:58'
'001_bitflags', true, 1, 0, '2018-11-14 15:22:58', '2018-11-14 15:22:59'
'002_log', true, 2, 0, '2018-11-14 15:22:59', '2018-11-14 15:23:01'
'003_lazy_static', true, 0, 0, '2018-11-14 15:23:01', '2018-11-14 15:23:01'
'005_winapi', true, 0, 0, '2018-11-14 15:23:01', '2018-11-14 15:23:01'
'008_num-traits', true, 6, 0, '2018-11-14 15:23:01', '2018-11-14 15:23:08'
'009_memchr', true, 5, 0, '2018-11-14 15:23:08', '2018-11-14 15:23:13'
'010_rustc-serialize', true, 45, 0, '2018-11-14 15:23:13', '2018-11-14 15:23:58'
'012_unicode-xid', true, 0, 0, '2018-11-14 15:23:58', '2018-11-14 15:23:58'
'013_aho-corasick', true, 16, 0, '2018-11-14 15:23:58', '2018-11-14 15:24:14'
'014_winapi-build', true, 1, 0, '2018-11-14 15:24:14', '2018-11-14 15:24:15'
'015_quote', true, 1, 0, '2018-11-14 15:24:15', '2018-11-14 15:24:16'
'017_thread_local', true, 2, 0, '2018-11-14 15:24:16', '2018-11-14 15:24:18'
'018_time', true, 8, 0, '2018-11-14 15:24:18', '2018-11-14 15:24:26'
'019_utf8-ranges', true, 2, 0, '2018-11-14 15:24:26', '2018-11-14 15:24:28'
'020_byteorder', true, 3, 0, '2018-11-14 15:24:28', '2018-11-14 15:24:31'
'022_cfg-if', true, 0, 0, '2018-11-14 15:24:31', '2018-11-14 15:24:31'
'023_url', true, 16, 0, '2018-11-14 15:24:31', '2018-11-14 15:24:47'
'024_num_cpus', true, 2, 0, '2018-11-14 15:24:47', '2018-11-14 15:24:49'
'025_gcc', true, 10, 0, '2018-11-14 15:24:49', '2018-11-14 15:24:59'
'026_pkg-config', true, 5, 0, '2018-11-14 15:24:59', '2018-11-14 15:25:04'
'027_semver', true, 6, 0, '2018-11-14 15:25:04', '2018-11-14 15:25:10'
'028_itoa', true, 1, 0, '2018-11-14 15:25:10', '2018-11-14 15:25:11'
'029_matches', true, 0, 0, '2018-11-14 15:25:11', '2018-11-14 15:25:12'
'032_num-integer', true, 3, 0, '2018-11-14 15:25:12', '2018-11-14 15:25:15'
'033_unicode-normalization', true, 83, 0, '2018-11-14 15:25:15', '2018-11-14 15:26:39'
'034_strsim', true, 2, 0, '2018-11-14 15:26:39', '2018-11-14 15:26:41'
'035_void', true, 0, 0, '2018-11-14 15:26:41', '2018-11-14 15:26:41'
'036_unicode-bidi', true, 7, 0, '2018-11-14 15:26:41', '2018-11-14 15:26:48'
'037_num', true, 0, 0, '2018-11-14 15:26:48', '2018-11-14 15:26:48'
'038_unreachable', true, 1, 0, '2018-11-14 15:26:48', '2018-11-14 15:26:49'
'039_dtoa', true, 0, 0, '2018-11-14 15:26:49', '2018-11-14 15:26:49'
'041_idna', true, 8, 0, '2018-11-14 15:26:49', '2018-11-14 15:26:58'
'042_clap', true, 114, 0, '2018-11-14 15:26:58', '2018-11-14 15:28:53'
'043_openssl-sys', true, 2, 0, '2018-11-14 15:28:53', '2018-11-14 15:28:55'
'044_num-iter', true, 0, 0, '2018-11-14 15:28:55', '2018-11-14 15:28:55'
'045_ansi_term', true, 4, 0, '2018-11-14 15:28:55', '2018-11-14 15:28:59'
'046_unicase', true, 3, 0, '2018-11-14 15:28:59', '2018-11-14 15:29:02'
'048_mime', true, 3, 0, '2018-11-14 15:29:02', '2018-11-14 15:29:05'
'049_vec_map', true, 1, 0, '2018-11-14 15:29:05', '2018-11-14 15:29:06'
'050_chrono', true, 20, 0, '2018-11-14 15:29:06', '2018-11-14 15:29:26'
'051_unicode-width', true, 0, 0, '2018-11-14 15:29:26', '2018-11-14 15:29:26'
'052_slab', true, 1, 0, '2018-11-14 15:29:26', '2018-11-14 15:29:27'
'053_cc', true, 13, 0, '2018-11-14 15:29:27', '2018-11-14 15:29:40'
'054_term', true, 8, 0, '2018-11-14 15:29:40', '2018-11-14 15:29:48'
'055_thread-id', true, 0, 0, '2018-11-14 15:29:48', '2018-11-14 15:29:48'
'056_atty', true, 0, 0, '2018-11-14 15:29:48', '2018-11-14 15:29:48'
'057_openssl', true, 30, 0, '2018-11-14 15:29:48', '2018-11-14 15:30:18'
'058_backtrace', true, 3, 0, '2018-11-14 15:30:18', '2018-11-14 15:30:21'
'059_tempdir', true, 1, 0, '2018-11-14 15:30:21', '2018-11-14 15:30:22'
'060_httparse', true, 7, 0, '2018-11-14 15:30:22', '2018-11-14 15:30:29'
'061_rustc_version', true, 5, 0, '2018-11-14 15:30:29', '2018-11-14 15:30:34'
'062_error-chain', true, 22, 0, '2018-11-14 15:30:34', '2018-11-14 15:30:56'
'063_smallvec', true, 2, 0, '2018-11-14 15:30:56', '2018-11-14 15:30:58'
'065_rustc-demangle', true, 2, 0, '2018-11-14 15:30:58', '2018-11-14 15:31:00'
'066_proc-macro2', true, 8, 0, '2018-11-14 15:31:00', '2018-11-14 15:31:08'
'067_base64', true, 4, 0, '2018-11-14 15:31:08', '2018-11-14 15:31:12'
'068_uuid', true, 7, 0, '2018-11-14 15:31:12', '2018-11-14 15:31:19'
'069_net2', true, 3, 0, '2018-11-14 15:31:19', '2018-11-14 15:31:22'
